Name,Wikidata ID,Wikidata Link,Wikidata Description,OSM Relation ID,OSM Relation Link,Country,Same as Administative Boundary,Shapefile Feature Name
City of Aberdeen,Q36405,Q36405,city in Scotland,,,Scotland,,City of Aberdeen
Aberdeenshire,Q3290674,Q3290674,registration county of Scotland,,,Scotland,,Aberdeenshire
Angus,Q202177,Q202177,council area of Scotland,,,Scotland,,Angus
Argyll and Bute,Q202174,Q202174,unitary authority council area in Scotland,,,Scotland,,Argyll and Bute
Ayrshire and Arran,Q2440447,Q2440447,lieutenancy area of Scotland,,,Scotland,,Ayrshire and Arran
Banffshire,Q806432,Q806432,historical and ceremonial county in north-east Scotland,,,Scotland,,Banffshire
Bedfordshire,Q23143,Q23143,ceremonial county of England (use Q1053723 for administrative non-metropolitan county),88082,88082,England,,Bedfordshire
Berkshire,Q23220,Q23220,ceremonial but non-administrative county of England,88070,88070,England,,Berkshire
Berwickshire,Q786649,Q786649,"registration county, lieutenancy area and former administrative county in the Scottish Borders",,,Scotland,,Berwickshire
Bristol,Q23154,Q23154,city in South West England,6103050,6103050,England,,Bristol
Buckinghamshire,Q23229,Q23229,ceremonial county in England (use Q21694636 for administrative non-metropolitan county),87460,87460,England,,Buckinghamshire
Caithness,Q864668,Q864668,"Historic county, registration county, and lieutenancy area of Scotland",374913,374913,Scotland,,Caithness
Cambridgeshire,Q23112,Q23112,ceremonial county of England (use Q21272276 for administrative non-metropolitan county),87521,87521,England,,Cambridgeshire
Cheshire,Q23064,Q23064,ceremonial county in England,57512,57512,England,,Cheshire
City of London,Q23311,Q23311,city and county within London; Roman settlement,51800,51800,England,,City and County of the City of London
Clackmannanshire,Q207268,Q207268,council area,,,Scotland,,Clackmannan
Clwyd,Q1067984,Q1067984,preserved county of Wales,,,Wales,,Clwyd
Cornwall,Q23148,Q23148,historic country and ceremonial county in England,1987628,1987628,England,,Cornwall
County Antrim,Q189592,Q189592,county of Northern Ireland,1119534,1119534,Northern Ireland,,ANTRIM
County Armagh,Q192761,Q192761,county of Northern Ireland,1119535,1119535,Northern Ireland,,ARMAGH
County Down,Q190684,Q190684,county of Northern Ireland,1119533,1119533,Northern Ireland,,DOWN
County Fermanagh,Q190678,Q190678,county of Northern Ireland,1118085,1118085,Northern Ireland,,FERMANAGH
County Londonderry,Q192208,Q192208,county of Northern Ireland,1959598,1959598,Northern Ireland,,LONDONDERRY
County Tyrone,Q192229,Q192229,county in Northern Ireland,1117773,1117773,Northern Ireland,,TYRONE
Cumbria,Q23066,Q23066,county in England,88065,88065,England,★,Cumbria
Derbyshire,Q23098,Q23098,"ceremonial county in East Midlands, England",88077,88077,England,,Derbyshire
Devon,Q23156,Q23156,ceremonial county of England (use Q21694695 for administrative non-metropolitan county),57538,57538,England,,Devon
Dorset,Q23159,Q23159,"ceremonial county in South West England, UK",2698375,2698375,England,,Dorset
Dumfries,Q1247384,Q1247384,lieutenancy area of Scotland,,,Scotland,,Dumfries
Dunbartonshire,Q140090,Q140090,"Historic county, lieutenancy area and registration county in the west central Lowlands of Scotland",,,Scotland,,Dunbartonshire
City of Dundee,Q123709,Q123709,city in Scotland,,,Scotland,,City of Dundee
Durham,Q23082,Q23082,ceremonial county in North East England (use Q1137286 for administrative unitary authority),156050,156050,England,,Durham
Dyfed,Q1067991,Q1067991,preserved county of Wales,,,Wales,,Dyfed
East Lothian,Q207257,Q207257,council area of Scotland; lieutenancy area,,,Scotland,,East Lothian
East Riding of Yorkshire,Q23088,Q23088,ceremonial county of England (use Q21695028 for administrative unitary authority),3125734,3125734,England,,East Riding of Yorkshire
East Sussex,Q23293,Q23293,ceremonial county in England (use Q21694646 for administrative non-metropolitan county),2126747,2126747,England,,East Sussex
